리뷰 No.,제품 ID,제품명,닉네임,피부 타입,피부 고민,작성 시간,별점 (0/5),리뷰 내용,태그,평균 별점 (제품별),사진1(선택),사진1(선택),사진3(선택)
39,3,다이브인 저분자 히알루론산 토너,용감한호랑이290,수부지,보습,2026.04.25,4,가볍게 발려요. 산뜻하게 발려서 좋아요. 만족스러운 소비였어요.,"끈적임 적음, 산뜻함, 수분감, 가벼움",4.47,https://drive.google.com/file/d/1xkFf2LRMPHPZDxnwIuFNGfxHJfbuvCNp/view?usp=sharing,https://drive.google.com/file/d/1xkFf2LRMPHPZDxnwIuFNGfxHJfbuvCNp/view?usp=sharing,
40,3,다이브인 저분자 히알루론산 토너,새침한고래972,복합성,보습,2026.01.20,5,끈적임이 적어서 좋아요. 수분감이 오래가서 좋아요. 다음에도 또 살 것 같아요.,"발림성, 끈적임 적음, 수분감",4.47,,,
41,3,다이브인 저분자 히알루론산 토너,부지런한다람쥐678,복합성,보습,2025.10.08,5,수분감이 오래가서 좋아요. 끈적임이 적어서 좋아요.,"산뜻함, 발림성, 수분감, 끈적임 적음, 가벼움",4.47,,,
42,3,다이브인 저분자 히알루론산 토너,든든한수달70,복합성,보습,2026.02.22,5,발림성이 정말 좋아요. 가볍게 발려요. 끈적임이 적어서 좋아요.,"가벼움, 산뜻함, 끈적임 적음, 발림성",4.47,,,
43,3,다이브인 저분자 히알루론산 토너,명랑한사자731,수부지,"보습, 모공",2025.07.12,4,'다이브인 저분자 히알루론산 토너' 사용 후기예요. 산뜻하게 발려서 좋아요. 수분감이 오래가서 좋아요.,"가벼움, 끈적임 적음, 수분감, 산뜻함, 발림성",4.47,,,
44,3,다이브인 저분자 히알루론산 토너,용감한판다680,복합성,보습,2026.07.12,5,끈적임이 적어서 좋아요. 산뜻하게 발려서 좋아요. 추천하고 싶어요.,"가벼움, 수분감, 발림성, 산뜻함, 끈적임 적음",4.47,,,
45,3,다이브인 저분자 히알루론산 토너,평범한앵무새57,수부지,보습,2025.11.20,4,수분감이 오래가서 좋아요. 끈적임이 적어서 좋아요. 재구매 의사 있어요!,"끈적임 적음, 수분감",4.47,https://drive.google.com/file/d/1TTno4GRWUqDa0HT2C4-_sTC2L7O-SxGG/view?usp=sharing,,
46,4,1025 독도 토너,느긋한판다963,지성,"보습, 미백/잡티",2026.06.03,5,'1025 독도 토너' 사용 후기예요. 피부 결이 매끈해지는 느낌이에요. 산뜻하게 발려서 좋아요. 향료가 첨가되지 않았어요. 다음에도 또 살 것 같아요.,"산뜻함, 향료 무첨가, 매끈한 피부결, 발림성",4.7,,,
47,4,1025 독도 토너,귀여운다람쥐692,지성,보습,2026.03.03,5,'1025 독도 토너' 사용 후기예요. 피부 결이 매끈해지는 느낌이에요. 산뜻하게 발려서 좋아요. 만족스러운 소비였어요.,"산뜻함, 향료 무첨가, 매끈한 피부결, 발림성",4.7,,,
48,4,1025 독도 토너,부지런한얼룩말607,지성,보습,2025.11.08,5,'1025 독도 토너' 사용 후기예요. 발림성이 정말 좋아요. 향료가 첨가되지 않았어요. 만족스러운 소비였어요.,"향료 무첨가, 발림성, 매끈한 피부결",4.7,,,
49,4,1025 독도 토너,상냥한고래139,복합성,보습,2025.09.20,3,'1025 독도 토너' 사용 후기예요. 발림성이 정말 좋아요.,"산뜻함, 향료 무첨가, 발림성",4.7,https://drive.google.com/file/d/1rwzTt0PSfcpVUV7SSPPoifGNuDV4iuSj/view?usp=sharing,,
50,4,1025 독도 토너,촉촉한얼룩말95,복합성,보습,2026.04.13,5,'1025 독도 토너' 사용 후기예요. 피부 결이 매끈해지는 느낌이에요. 산뜻하게 발려서 좋아요. 다음에도 또 살 것 같아요.,"발림성, 매끈한 피부결, 산뜻함",4.7,,,
51,4,1025 독도 토너,대담한다람쥐397,지성,보습,2025.07.15,4,산뜻하게 발려서 좋아요. 발림성이 정말 좋아요. 가격도 합리적이라 좋았어요.,"발림성, 산뜻함, 매끈한 피부결, 향료 무첨가",4.7,,,
52,4,1025 독도 토너,부지런한고래705,지성,보습,2026.08.05,5,향료가 첨가되지 않았어요. 가격도 합리적이라 좋았어요.,"매끈한 피부결, 발림성, 향료 무첨가",4.7,,,
53,4,1025 독도 토너,씩씩한하마945,지성,"보습, 민감성",2025.12.14,4,'1025 독도 토너' 사용 후기예요. 산뜻하게 발려서 좋아요. 피부 결이 매끈해지는 느낌이에요. 향료가 첨가되지 않았어요.,"발림성, 매끈한 피부결, 산뜻함, 향료 무첨가",4.7,,,
54,4,1025 독도 토너,느긋한사자481,복합성,보습,2025.07.28,5,'1025 독도 토너' 사용 후기예요. 산뜻하게 발려서 좋아요. 발림성이 정말 좋아요. 다음에도 또 살 것 같아요.,"발림성, 매끈한 피부결, 향료 무첨가, 산뜻함",4.7,,,
55,4,1025 독도 토너,활발한라쿤928,복합성,"보습, 여드름",2025.07.18,5,'1025 독도 토너' 사용 후기예요. 향료가 첨가되지 않았어요. 발림성이 정말 좋아요. 피부 결이 매끈해지는 느낌이에요.,"발림성, 매끈한 피부결, 향료 무첨가",4.7,,,
56,4,1025 독도 토너,부지런한호랑이438,지성,보습,2025.10.24,4,향료가 첨가되지 않았어요. 발림성이 정말 좋아요. 피부 결이 매끈해지는 느낌이에요. 가격도 합리적이라 좋았어요.,"산뜻함, 발림성, 매끈한 피부결, 향료 무첨가",4.7,https://drive.google.com/file/d/1OcJlT0IRl93tn5Vbx6OrO_aTYcMOAoah/view?usp=sharing,,
57,4,1025 독도 토너,씩씩한오리934,복합성,보습,2025.07.16,5,피부 결이 매끈해지는 느낌이에요. 향료가 첨가되지 않았어요. 가격도 합리적이라 좋았어요.,"매끈한 피부결, 향료 무첨가",4.7,,,
58,4,1025 독도 토너,대담한얼룩말489,복합성,"보습, 여드름",2025.02.06,5,'1025 독도 토너' 사용 후기예요. 산뜻하게 발려서 좋아요. 향료가 첨가되지 않았어요. 발림성이 정말 좋아요.,"향료 무첨가, 발림성, 산뜻함",4.7,,,
59,4,1025 독도 토너,귀여운벌새751,복합성,보습,2025.03.06,5,'1025 독도 토너' 사용 후기예요. 산뜻하게 발려서 좋아요. 발림성이 정말 좋아요. 재구매 의사 있어요!,"산뜻함, 발림성",4.7,,,
60,4,1025 독도 토너,활발한고슴도치379,지성,보습,2026.05.03,4,향료가 첨가되지 않았어요. 산뜻하게 발려서 좋아요. 만족스러운 소비였어요.,"향료 무첨가, 산뜻함",4.7,,,
61,4,1025 독도 토너,소심한얼룩말82,복합성,보습,2026.08.16,5,'1025 독도 토너' 사용 후기예요. 향료가 첨가되지 않았어요. 산뜻하게 발려서 좋아요. 발림성이 정말 좋아요. 재구매 의사 있어요!,"향료 무첨가, 산뜻함, 발림성, 매끈한 피부결",4.7,,,
62,4,1025 독도 토너,새침한오리324,복합성,보습,2025.04.11,5,발림성이 정말 좋아요. 피부 결이 매끈해지는 느낌이에요. 다음에도 또 살 것 같아요.,"발림성, 매끈한 피부결, 향료 무첨가",4.7,,,
63,4,1025 독도 토너,게으른사자454,지성,보습,2025.04.13,5,'1025 독도 토너' 사용 후기예요. 발림성이 정말 좋아요. 향료가 첨가되지 않았어요.,"향료 무첨가, 매끈한 피부결, 산뜻함, 발림성",4.7,https://drive.google.com/file/d/1FpZweAEVdvQijtDyCUFRCSlYkAJDV-l2/view?usp=sharing,,
64,4,1025 독도 토너,부지런한고양이237,지성,보습,2026.02.10,5,'1025 독도 토너' 사용 후기예요. 피부 결이 매끈해지는 느낌이에요. 발림성이 정말 좋아요. 가격도 합리적이라 좋았어요.,"발림성, 매끈한 피부결",4.7,,,
65,4,1025 독도 토너,배부른나비212,복합성,보습,2026.01.16,5,'1025 독도 토너' 사용 후기예요. 산뜻하게 발려서 좋아요. 추천하고 싶어요.,"발림성, 산뜻함",4.7,,,
66,5,초저분자 히아루론산 토너,대담한물개483,수부지,보습,2025.10.21,5,'초저분자 히아루론산 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 재구매 의사 있어요!,"빠른 흡수, 수분감, 끈적임 적음",4.26,,,
67,5,초저분자 히아루론산 토너,부지런한앵무새796,수부지,보습,2025.04.01,4,'초저분자 히아루론산 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 가격도 합리적이라 좋았어요.,"끈적임 적음, 수분감, 산뜻함, 가벼움, 빠른 흡수",4.26,,,
68,5,초저분자 히아루론산 토너,용감한토끼3,복합성,없음,2026.06.02,4,가볍게 발려요. 흡수가 빨라서 좋아요. 만족스러운 소비였어요.,"가벼움, 빠른 흡수",4.26,https://drive.google.com/file/d/12k93s9vJTX-DNXLO8K94u38nEEghhUaX/view?usp=sharing,https://drive.google.com/file/d/1Xyf2vNSOeLWT04ZDlfRcm2CxKYIuK7NU/view?usp=sharing,
69,5,초저분자 히아루론산 토너,부지런한여우197,수부지,보습,2026.03.16,5,'초저분자 히아루론산 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 끈적임이 적어서 좋아요. 추천하고 싶어요.,"빠른 흡수, 가벼움, 수분감, 끈적임 적음",4.26,,,
70,5,초저분자 히아루론산 토너,조용한오리760,복합성,보습,2025.08.25,2,'초저분자 히아루론산 토너' 사용 후기예요. 산뜻하게 발려서 좋아요. 수분감이 오래가서 좋아요. 재구매는 안 할 것 같아요.,"산뜻함, 수분감",4.26,,,
71,5,초저분자 히아루론산 토너,행복한토끼882,수부지,보습,2025.10.20,5,가볍게 발려요. 가격도 합리적이라 좋았어요.,"가벼움, 끈적임 적음",4.26,,,
72,5,초저분자 히아루론산 토너,몽글몽글한해달167,수부지,"보습, 민감성",2025.07.31,5,흡수가 빨라서 좋아요. 가볍게 발려요. 끈적임이 적어서 좋아요.,"빠른 흡수, 산뜻함, 끈적임 적음, 가벼움",4.26,,,
73,5,초저분자 히아루론산 토너,귀여운코알라38,복합성,보습,2026.08.05,5,수분감이 오래가서 좋아요. 산뜻하게 발려서 좋아요. 흡수가 빨라서 좋아요. 가격도 합리적이라 좋았어요.,"산뜻함, 가벼움, 수분감, 빠른 흡수",4.26,,,
74,5,초저분자 히아루론산 토너,산뜻한고래638,수부지,보습,2026.04.17,5,'초저분자 히아루론산 토너' 사용 후기예요. 산뜻하게 발려서 좋아요. 재구매 의사 있어요!,"끈적임 적음, 산뜻함, 빠른 흡수, 가벼움, 수분감",4.26,https://drive.google.com/file/d/12T_qi8M_zqHlcFzwpLS6NxC8cxLZbGrX/view?usp=sharing,https://drive.google.com/file/d/1vpXYtZtwmFNsjNh9z2eXQrcbgDqzHAAo/view?usp=sharing,
75,5,초저분자 히아루론산 토너,산뜻한강아지480,수부지,"보습, 민감성",2025.06.26,5,흡수가 빨라서 좋아요. 끈적임이 적어서 좋아요. 가볍게 발려요.,"가벼움, 끈적임 적음, 빠른 흡수",4.26,,,
76,5,초저분자 히아루론산 토너,엉뚱한고래132,복합성,보습,2025.09.14,4,'초저분자 히아루론산 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 수분감이 오래가서 좋아요.,"빠른 흡수, 수분감, 끈적임 적음",4.26,,,
77,5,초저분자 히아루론산 토너,촉촉한물개509,수부지,보습,2025.07.23,5,'초저분자 히아루론산 토너' 사용 후기예요. 산뜻하게 발려서 좋아요.,"수분감, 빠른 흡수, 끈적임 적음, 산뜻함",4.26,,,
78,5,초저분자 히아루론산 토너,조용한펭귄228,수부지,보습,2026.09.14,2,끈적임이 적어서 좋아요. 재구매는 안 할 것 같아요.,"끈적임 적음, 수분감",4.26,,,
79,5,초저분자 히아루론산 토너,상큼한고래587,복합성,보습,2026.01.22,5,흡수가 빨라서 좋아요. 가볍게 발려요.,"가벼움, 수분감, 빠른 흡수, 산뜻함",4.26,https://drive.google.com/file/d/1HcNLYC8aDUzOKOEZgav_bh__-tcxJeo_/view?usp=sharing,,
80,5,초저분자 히아루론산 토너,말랑한부엉이649,수부지,보습,2025.10.15,4,흡수가 빨라서 좋아요. 수분감이 오래가서 좋아요. 재구매는 고민중이에요.,"수분감, 가벼움, 빠른 흡수",4.26,,,
81,5,초저분자 히아루론산 토너,말랑한수달73,복합성,보습,2026.08.01,5,흡수가 빨라서 좋아요. 수분감이 오래가서 좋아요. 산뜻하게 발려서 좋아요. 재구매 의사 있어요!,"산뜻함, 빠른 흡수, 가벼움, 수분감",4.26,,,
82,5,초저분자 히아루론산 토너,부지런한부엉이705,복합성,보습,2026.04.24,3,끈적임이 적어서 좋아요. 재구매는 고민중이에요.,"수분감, 끈적임 적음",4.26,,,
83,5,초저분자 히아루론산 토너,행복한얼룩말957,복합성,보습,2026.02.05,5,'초저분자 히아루론산 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 산뜻하게 발려서 좋아요. 다음에도 또 살 것 같아요.,"수분감, 끈적임 적음, 산뜻함, 빠른 흡수, 가벼움",4.26,,,
84,5,초저분자 히아루론산 토너,씩씩한라쿤308,수부지,보습,2025.06.02,5,'초저분자 히아루론산 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 산뜻하게 발려서 좋아요. 만족스러운 소비였어요.,"수분감, 빠른 흡수, 산뜻함, 끈적임 적음",4.26,https://drive.google.com/file/d/1zq3P8qSp08KUqH6fO43gyB7iQJ92euyj/view?usp=sharing,,
85,5,초저분자 히아루론산 토너,엉뚱발랄한앵무새241,복합성,보습,2025.09.06,3,수분감이 오래가서 좋아요. 산뜻하게 발려서 좋아요. 나쁘지 않아요.,"수분감, 끈적임 적음, 산뜻함",4.26,,,
86,5,초저분자 히아루론산 토너,산뜻한여우753,수부지,보습,2025.07.23,2,수분감이 오래가서 좋아요. 흡수가 빨라서 좋아요. 끈적임이 적어서 좋아요.,"끈적임 적음, 산뜻함, 빠른 흡수, 수분감, 가벼움",4.26,,,
87,5,초저분자 히아루론산 토너,게으른수달815,수부지,보습,2025.11.12,5,'초저분자 히아루론산 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 흡수가 빨라서 좋아요. 가볍게 발려요. 추천하고 싶어요.,"빠른 흡수, 가벼움, 수분감",4.26,,,
88,5,초저분자 히아루론산 토너,조용한여우576,수부지,보습,2026.05.26,5,'초저분자 히아루론산 토너' 사용 후기예요. 가볍게 발려요. 끈적임이 적어서 좋아요. 가격도 합리적이라 좋았어요.,"가벼움, 끈적임 적음",4.26,,,
89,6,피치마이크로바이옴 78 피디알엔 토너,익명의하마583,건성,"미백/잡티, 민감성",2026.03.10,5,끈적임이 적어서 좋아요. 가격도 합리적이라 좋았어요.,"쫀쫀함, 빠른 흡수, 끈적임 적음",4.5,,,
90,6,피치마이크로바이옴 78 피디알엔 토너,엉뚱발랄한문어10,수부지,"미백/잡티, 민감성, 보습",2025.03.30,5,'피치마이크로바이옴 78 피디알엔 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 추천하고 싶어요.,"끈적임 적음, 쫀쫀함",4.5,,,
91,6,피치마이크로바이옴 78 피디알엔 토너,느긋한고양이527,건성,"보습, 민감성",2025.01.21,5,끈적임이 적어서 좋아요. 흡수가 빨라서 좋아요. 다음에도 또 살 것 같아요.,"끈적임 적음, 빠른 흡수, 수분감, 쫀쫀함",4.5,https://drive.google.com/file/d/1rLSSL3E9r5Uj_mji-CX6ofhIfZpk1qsZ/view?usp=sharing,https://drive.google.com/file/d/1ukvznDgldgwbTxQSTD5C7LRIoztfEbZm/view?usp=sharing,
92,6,피치마이크로바이옴 78 피디알엔 토너,사랑스런수달916,수부지,미백/잡티,2025.03.27,3,수분감이 오래가서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 그냥 무난하게 쓰고 있어요.,"끈적임 적음, 빠른 흡수, 쫀쫀함, 수분감",4.5,,,
93,6,피치마이크로바이옴 78 피디알엔 토너,느긋한토끼757,건성,"미백/잡티, 민감성",2025.04.19,5,끈적임이 적어서 좋아요. 재구매 의사 있어요!,"수분감, 끈적임 적음, 빠른 흡수, 쫀쫀함",4.5,,,
94,6,피치마이크로바이옴 78 피디알엔 토너,몽글몽글한얼룩말957,수부지,보습,2025.09.04,3,끈적임이 적어서 좋아요. 수분감이 오래가서 좋아요. 나쁘지 않아요.,"끈적임 적음, 수분감, 쫀쫀함, 빠른 흡수",4.5,,,
95,6,피치마이크로바이옴 78 피디알엔 토너,새침한나비314,수부지,미백/잡티,2025.10.01,4,'피치마이크로바이옴 78 피디알엔 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 쫀쫀한 텍스처가 마음에 들어요.,"쫀쫀함, 빠른 흡수, 수분감",4.5,,,
