제품 ID,제품명,가격(원),브랜드명,제품 카테고리,용량,나이대 추천순,피부 타입 적합도,주의 타입,피부 고민,사용감 태그,제품 특징 태그,전성분,주요 성분,출처,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,레드 블레미쉬 클리어 수딩 크림,"26,500",닥터지,크림,70,"20대(100), 10대(75), 30대(50), 40대 이상(25)","지성(적극 추천), 수부지(적극 추천), 복합성(적극 추천), 중성(추천), 건성(조건부 추천)",건성(2),"보습(3), 여드름(2), 미백/잡티(2), 민감성(3)","가벼움, 빠른 흡수, 촉촉함, 수분감, 쿨링감, 발림성, 끈적임 적음","논코메도제닉 테스트 완료, 피부 자극 테스트 완료, 여드름성, 미백, 데일리 케어, 여름용, 튜브형","정제수, 글리세린, 부틸렌글라이콜, 다이카프릴릴에터, 나이아신아마이드, 1·2-헥산다이올, 펜틸렌글라이콜, 소듐하이알루로네이트, 병풀잎추출물, 비피다발효여과물, 락토바실러스발효물, 병풀꽃/잎/줄기추출물, 병풀뿌리추출물, 병풀추출물, 효모발효여과물, 하이드로제네이티드폴리데센, 다이카프릴릴카보네이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 판테놀, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 실리카, 트로메타민, 솔비톨, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 에틸헥실글리세린, 트라이소듐에틸렌다이아민다이석시네이트, 알란토인, 다이프로필렌글라이콜, 토코페롤, 마데카소사이드, 폴리글리세릴-10라우레이트, 포스파티딜콜린, 하이드로제네이티드레시틴, 칼슘판토테네이트, 스쿠알란, 에리스리톨, 에틸헥실팔미테이트, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드, 트라이하이드록시스테아린, 세라마이드엔피, 다발방패버섯추출물, 잔탄검","병풀 복합체, 판테놀, 나이아신아마이드, 알란토인, 세라마이드엔피, 베타-글루칸",https://www.hwahae.co.kr/goods/닥터지-레드-블레미쉬-클리어-수딩-크림-50ml-듀오-기프트-세트/75592?goods_tab=review_ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,진정한 수분크림,"8,900",프리메이,크림,100,"20대(100), 10대(75), 30대(50), 40대 이상(25)","건성(적극 추천), 수부지(추천), 복합성(추천), 중성(추천), 지성(조건부 추천)",지성(2),보습(3),"촉촉함, 수분감, 산뜻함, 발림성, 빠른 흡수","비건 인증, 데일리 케어, 나이트 케어, 대용량, 튜브형","정제수,다이프로필렌글라이콜,글리세린,카프릴릭/카프릭트라이글리세라이드,메틸트라이메티콘 ,세틸에틸헥사노에이트,폴리글리세릴-3메틸글루코오스다이스테아레이트,메도우폼씨오일,밤부사 불가리스추출물,베타인,하이드로제네이티드폴리아이소부텐,세테아릴알코올,폴리글리세릴-3스테아레이트,글리세릴스테아레이트,1,2-헥산다이올,트레할로오스,판테놀,알지닌,카보머,카프릴릴글라이콜,하이드록시아세토페논,하이드로제네이티드식물성글리세라이즈,폴리글리세릴-10라우레이트,아미노부티릭애씨드,폴리글리세릴-4라우레이트,소듐스테아로일락틸레이트,에틸헥실글리세린,부틸렌글라이콜,약모밀추출물,판토락톤,아데노신,서양배추출물,트라이소듐에틸렌다이아민다이석시네이트,다마스크장미꽃수,글리세릴글루코사이드,살비아오일,오리스뿌리추출물,멜론추출물,서양송악잎/줄기추출물,흰목이버섯폴리사카라이드,향부자추출물,판토테닉애씨드,서양민들레뿌리줄기/뿌리추출물,소엽잎추출물,소듐하이알루로네이트,마그네슘피씨에이,소듐피씨에이,칼슘피씨에이","판테놀, 약모밀추출물, 글리세린, 하이드로제네이티드폴리데센, 카프릴릭/카프릭트라이글리세라이드, 소듐하이알루로네이트",https://www.hwahae.co.kr/goods/프리메이-only화해-진정한-수분크림-100ml-더블-기획-PLUS올리브-마스크-2매-증정/61437?goods_tab=review_ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,판테놀 크림,"25,500",아토팜,크림,80,"30대(100), 20대(75), 40대 이상(50), 10대(25)","건성(적극 추천), 복합성(추천), 수부지(추천), 중성(추천), 지성(주의)",지성(3),보습(3),"촉촉함, 빠른 흡수, 발림성, 윤광, 꾸덕함","인체 적용 시험 완료, 피부 자극 테스트 완료, 데일리 케어, 나이트 케어, 겨울용, 튜브형","정제수, 판테놀(10%), 카프릴릭/카프릭트라이글리세라이드, 프로판다이올, 세테아릴알코올, 펜타에리스리틸스테아레이트/카프레이트/카프릴레이트/아디페이트, 코코글리세라이즈, 펜틸렌글라이콜, 호호바씨오일, 시어버터, 솔비탄스테아레이트, 스테아릭애씨드, C10-18트라이글리세라이즈, 하이드로제네이티드식물성오일, 1,2-헥산다이올, 글리세릴스테아레이트, 피토스테롤, 미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이, 폴리글리세릴-5스테아레이트, 토코페롤, 카보머, 알지닌, 알란토인, 소듐파이테이트, 잔탄검, 소듐하이알루로네이트, 해바라기씨오일, 메틸카프로오일타이로지네이트, 살비아오일, 소두구씨오일, 광곽향오일, 멕시칸주니퍼오일, 팔미토일팔미타마이드엠이에이, N-데카노일세린올, 비스-카프릴로일옥시팔미타미도아이소프로판올, 두송열매오일, 캐모마일꽃오일, 류신, 라이신, 페닐알라닌, 트레오닌, 발린, 카프릴릭/카프릭글리세라이즈","판테놀(10%), 디펜사마이드, 세라마이드 유사 장벽 성분, 호호바씨오일, 시어버터, 알란토인, 아미노산 복합체",https://www.hwahae.co.kr/goods/아토팜-판테놀-크림-80mlPLUS80ml/74206?goods_tab=review_ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,레드 블레미쉬 클리어 수딩 크림 EX,"38,000",닥터지,크림,70,"20대(100), 10대(75), 30대(50), 40대 이상(25)","지성(적극 추천), 수부지(적극 추천), 복합성(적극 추천), 중성(추천), 건성(조건부 추천)",건성(2),"보습(3), 여드름(2), 민감성(3)","가벼움, 빠른 흡수, 산뜻함, 수분감, 끈적임 적음","데일리 케어, 메이크업 전 사용, 여름용, 단지형","정제수, 글리세린, 부틸렌글라이콜, 다이카프릴릴에터, 나이아신아마이드, 1,2-헥산다이올, 펜틸렌글라이콜, 소듐하이알루로네이트, 병풀잎추출물, 비피다발효여과물, 락토바실러스발효물, 병풀꽃/잎/줄기추출물, 병풀뿌리추출물, 병풀추출물, 효모발효여과물, 하이드로제네이티드폴리데센, 다이카프릴릴카보네이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 판테놀, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 실리카, 트로메타민, 솔비톨, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 에틸헥실글리세린, 트라이소듐에틸렌다이아민다이석시네이트, 알란토인, 다이프로필렌글라이콜, 토코페롤, 마데카소사이드, 폴리글리세릴-10라우레이트, 포스파티딜콜린, 하이드로제네이티드레시틴, 칼슘판토테네이트, 스쿠알란, 에리스리톨, 에틸헥실팔미테이트, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드, 트라이하이드록시스테아린, 세라마이드엔피, 다발방패버섯추출물, 잔탄검","병풀 복합체, 판테놀, 나이아신아마이드, 알란토인, 히알루론산, 세라마이드엔피, 스쿠알란","올리브영 EX 70ml 제품 정보, 다나와 제품 정보",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,더마 배리어 P 크림,"32,000",셀린저,크림,100,"40대 이상(100), 30대(75), 20대(50), 10대(25)","건성(적극 추천), 수부지(추천), 복합성(추천), 중성(추천), 지성(조건부 추천)",지성(2),"보습(3), 미백/잡티(2), 탄력/주름(1), 민감성(3)","촉촉함, 빠른 흡수, 발림성, 쫀쫀함","미백, 주름개선, 논코메도제닉 테스트 완료, 인체 적용 시험 완료, 데일리 케어, 겨울용, 튜브형","정제수, 해바라기씨오일, 글리세린, 하이드로제네이티드폴리데센, 글리세레스-26, 옥틸도데칸올, 판테놀, 나이아신아마이드, 카프릴릭/카프릭트라이글리세라이드, 글리세릴글루코사이드, 해안에린지움캘러스배양여과물, 세테아릴올리베이트, 글리세릴스테아레이트, 솔비탄올리베이트, 폴리글리세릴-2스테아레이트, 다이프로필렌글라이콜, 스테아릴알코올, 세틸팔미테이트, 솔비탄팔미테이트, 자일리틸글루코사이드, 안하이드로자일리톨, 자일리톨, 베타-시토스테롤, 사카라이드아이소머레이트, 프로판다이올, 피토스테롤, 트라이데세스-10, 세테아릴글루코사이드, 알란토인, 프룩탄, 아데노신, 글루코오스, 사카라이드하이드롤리세이트, 바오밥나무씨오일, 하이드로제네이티드레시틴, 세라마이드엔피, 세라마이드엔에스, 세라마이드에이에스, 세라마이드이오피, 세라마이드에이피, 토코페릴아세테이트, 소듐하이알루로네이트, 아미노부티릭애씨드, 하이드롤라이즈드하이알루로닉애씨드, 세테아릴알코올, 갈로일펜타펩타이드-33, 하이드롤라이즈드완두콩, 효모추출물, 포트마리골드꽃추출물, 다이포타슘글리시리제이트, 시메티콘, 레시틴, 에스에이치-올리고펩타이드-1, 소듐폴리아크릴로일다이메틸타우레이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카보머, 알지닌, 소듐포스페이트, 소듐시트레이트, 시트릭애씨드, 하이드록시아세토페논, 카프릴릴글라이콜, 1,2-헥산다이올, 펜틸렌글라이콜, 에틸헥실글리세린, 다이소듐이디티에이","판테놀, 세라마이드 5종, 나이아신아마이드, 베타-시토스테롤, 해바라기씨오일, 알란토인, 다이포타슘글리시리제이트","화해 제품 정보, GS SHOP 제품 정보",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,데일리 페이셜 크림,"39,000",에코미니멀,크림,250,"30대(100), 40대 이상(75), 20대(50), 10대(25)","건성(적극 추천), 중성(추천), 복합성(추천), 수부지(조건부 추천), 지성(주의)","지성(3), 수부지(1)","보습(3), 민감성(3)","촉촉함, 발림성, 빠른 흡수, 쫀쫀함, 윤광","향료 무첨가, 데일리 케어, 대용량, 튜브형, 재활용","정제수, 카프릴릭/카프릭트라이글리세라이드, 프로판다이올, 글리세린, 폴리글리세린-3, 세테아릴알코올, 나이아신아마이드, 다이글리세린, 판테놀, 오일팜커넬오일, 오일팜오일, 스쿠알란, 다이메티콘, 스테아릭애씨드, 글리세릴글루코사이드, 세라마이드엔피, 세라마이드이오피, 세라마이드엔에스, 세라마이드에이에스, 세라마이드에이피, 피토스핑고신, 콜레스테롤, 토코페릴아세테이트, 알로에베라잎추출물, 피토스테롤, 피토스테릴올리에이트, 글리세릴카프릴레이트, 베헤닐알코올, 에틸헥실글리세린, 올레익애씨드, 베타인, 1,2-헥산다이올, 하이드로제네이티드레시틴, 아세틸글루코사민, 알란토인, 시트릭애씨드, 소듐하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 아데노신, 부틸렌글라이콜, 미역추출물, 비사보롤, 마데카소사이드, 아텔로콜라겐, 약모밀추출물, 서양배추출물, 향기제비꽃잎추출물, 오리스뿌리추출물, 멜론씨추출물, 서양송악잎/줄기추출물","세라마이드 5종, 콜레스테롤, 피토스핑고신, 스쿠알란, 판테놀, 나이아신아마이드, 알란토인",공식 판매 상세 페이지 확인 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,인테카 수딩 크림,"32,000",메이크프렘,크림,80,"20대(100), 10대(75), 30대(50), 40대 이상(25)","지성(적극 추천), 수부지(적극 추천), 복합성(추천), 중성(추천), 건성(조건부 추천)",건성(2),"보습(2), 미백/잡티(2), 탄력/주름(1), 민감성(2)","가벼움, 빠른 흡수, 발림성, 끈적임 적음, 산뜻함, 수분감, 저자극","비건 인증, 피부 자극 테스트 완료, 미백, 주름개선, 데일리 케어, 메이크업 전 사용, 튜브형","정제수, 프로판다이올, 글리세린, 글리세릴글루코사이드, 1,2-헥산다이올, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드폴리데센, 나이아신아마이드, 부틸렌글라이콜, 솔비톨, 세테아릴올리베이트, 비닐다이메티콘, 솔비탄올리베이트, 카보머, 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물, 해바라기씨오일, 아시아티코사이드, 아시아틱애씨드, 마데카식애씨드, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 다이프로필렌글라이콜, 글리세릴스테아레이트에스이, 하이드로제네이티드레시틴, 트로메타민, 에틸헥실글리세린, 아데노신, 다이소듐이디티에이, 에톡시다이글라이콜","병풀 유효 성분, 인테카, 히알루론산 복합체, 나이아신아마이드, 글리세릴글루코사이드","메이크프렘 공식 제품 정보, 컬리 제품 정보",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,밸런스풀 시카 진정 크림,"24,000",토리든,크림,80,"20대(100), 10대(75), 30대(50), 40대 이상(25)","지성(적극 추천), 수부지(적극 추천), 복합성(추천), 중성(추천), 건성(조건부 추천)",건성(2),"보습(2), 여드름(3), 모공(3), 피지/블랙헤드(3), 민감성(2)","가벼움, 빠른 흡수, 산뜻함, 끈적임 적음, 수분감, 저자극","비건 인증, 약산성, 인체 적용 시험 완료, 피부 자극 테스트 완료, 여드름성, 인공향 무첨가, 데일리 케어, 단지형, 재활용","정제수, 부틸렌글라이콜, 글리세린, 헵틸운데실레네이트, 1,2-헥산다이올, 판테놀(2,000ppm), 병풀추출물, 마데카식애씨드, 아시아티코사이드(780ppb), 아시아틱애씨드, 마데카소사이드, 알란토인, 하이드롤라이즈드하이알루로닉애씨드, 쓴풀추출물, 푸른연꽃추출물, 락토바실러스발효물, 접시꽃추출물, 잇꽃꽃추출물, 베타인, 카프릴릭/카프릭트라이글리세라이드, 세테아릴알코올, 프로판다이올, C14-22알코올, 다이펩타이드-2, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 소듐폴리아크릴레이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머, 솔비탄아이소스테아레이트, 폴리글리세릴-3폴리리시놀리에이트, 아이소펜틸다이올, 카프릴로일살리실릭애씨드, C12-20알킬글루코사이드, 폴리글리세릴-4올리에이트, 소듐스테아로일글루타메이트, 소듐서팩틴, 카프릴로일애씨드, 잔탄검, 트로메타민, 소듐아세테이트, 다이소듐이디티에이, 에틸헥실글리세린, 치자추출물","병풀 복합체, 판테놀(2,000ppm), 알란토인, 베타인, 카프릴로일살리실릭애씨드","토리든 공식 제품 정보, 화해 제품 정보",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,모이스춰 닥터 크림,"31,500",아이소이,크림,50,"40대 이상(100), 30대(75), 20대(50), 10대(25)","수부지(적극 추천), 복합성(추천), 지성(추천), 중성(추천), 건성(조건부 추천)",건성(1),"보습(3), 여드름(3)","가벼움, 빠른 흡수, 발림성, 산뜻함, 끈적임 적음, 수분감","데일리 케어, 메이크업 전 사용, 단지형","정제수, 글리세린, 세틸에틸헥사노에이트, 카프릴릭/카프릭트라이글리세라이드, 베타인, 마카다미아씨오일, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드글라이코사미노글리칸, 티트리잎추출물, 쇠비름추출물, 약모밀추출물(어성초추출물), 판테놀, 피토스핑고신, 세라마이드엔피, 알지닌, 카보머, 흰버드나무껍질추출물, 오레가노잎추출물, 편백잎추출물, 락토바실러스/콩발효추출물, 육계나무껍질추출물, 잔탄검, 솔비탄세스퀴올리에이트, 자몽껍질오일, 부틸렌글라이콜, 1,2-헥산다이올, 프로판다이올, 포트마리골드꽃추출물, 황금추출물, 모란뿌리추출물, 스페인감초뿌리추출물, 하이드로제네이티드레시틴, 리모넨*","히알루론산 복합체, 세라마이드엔피, 판테놀, 베타인, 티트리잎추출물, 약모밀추출물, 쇠비름추출물","아이소이 공식 제품 정보, 화해 50ml 제품 정보",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,마다가스카르 리얼 수분크림,"23,800",시드물,크림,80,"20대(100), 30대(75), 10대(50), 40대 이상(25)","지성(적극 추천), 수부지(적극 추천), 복합성(추천), 중성(추천), 건성(조건부 추천)",건성(2),"보습(3), 여드름(2), 민감성(3)","가벼움, 빠른 흡수, 산뜻함, 끈적임 적음, 적은 유분감, 수분감, 저자극","피부 자극 테스트 완료, 여드름성, 약산성, 데일리 케어, 여름용, 튜브형","병풀잎수(80%), 글리세린, 하이드로제네이티드레시틴, 부틸렌글라이콜, 황금추출물, 모란뿌리추출물, 카프릴릭/카프릭트라이글리세라이드, 헵틸운데실레네이트, 폴리글루타믹애씨드, 소듐하이알루로네이트, 에리스리톨, 솔비톨, 마데카소사이드, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드, 아세틸헥사펩타이드-8, 베타-글루칸, 판테놀, 로우스위트블루베리추출물, 석류추출물, 무화과추출물, 뽕나무열매추출물, 은행추출물, 하이드롤라이즈드하이알루로닉애씨드, 하이드록시에틸우레아, 알란토인, 다이포타슘글리시리제이트, 토코페롤, 1,2-헥산다이올","병풀잎수(80%), 병풀 유효 성분, 폴리글루타믹애씨드, 히알루론산, 베타-글루칸, 판테놀, 알란토인","시드물 공식 제품 정보, 화해 제품 정보",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
